# jours_ecoules 	 nombreTotalContaminesGrippe 	 nombreTotalContaminesAgentPathogene()
1	0	19974
2	0	20248
3	0	21724
4	0	23297
5	0	25050
6	0	26888
7	0	28729
8	0	30647
9	0	32770
10	0	34920
11	0	37119
12	0	39354
13	0	41655
14	0	43875
15	0	46111
16	0	48190
17	0	50106
18	0	51726
19	0	53152
20	0	54231
21	0	55159
22	0	55898
23	0	56368
24	0	56670
25	0	56698
26	0	56705
27	0	56512
28	0	56320
29	0	55983
30	0	55751
31	0	55552
32	0	55228
33	0	54921
34	0	54808
35	0	54602
36	0	54544
37	0	54530
38	0	54535
39	0	54467
40	0	54555
41	0	54418
42	0	54427
43	0	54318
44	0	54178
45	0	54279
46	0	54138
47	0	54125
48	0	54078
49	0	54004
50	0	54057
51	0	54106
52	0	54114
53	0	53960
54	0	54067
55	0	54140
56	0	54109
57	0	54082
58	0	54170
59	0	54326
60	0	54282
61	0	54265
62	0	54367
63	0	54366
64	0	54486
65	0	54467
66	0	54385
67	0	54528
68	0	54608
69	0	54500
70	0	54557
71	0	54524
72	0	54538
73	20	54551
74	25	54442
75	33	54322
76	48	54287
77	49	54414
78	73	54465
79	103	54455
80	121	54349
81	159	54396
82	214	54403
83	258	54404
84	339	54383
85	433	54368
86	540	54319
87	680	54388
88	820	54354
89	1000	54305
90	1207	54252
91	1431	54187
92	1755	54188
93	2002	54210
94	2277	54282
95	2630	54228
96	2873	54308
97	3161	54261
98	3522	54235
99	3830	54326
100	4082	54276
101	4421	54246
102	4588	54271
103	4825	54260
104	5110	54204
105	5291	54225
106	5523	54136
107	5772	54109
108	5894	54211
109	6054	54183
110	6257	54255
111	6475	54331
112	6620	54275
113	6784	54220
114	6864	54164
115	6890	54109
116	6984	54128
117	7116	53945
118	7120	54072
119	7121	54141
120	7151	54143
121	7080	54072
122	7073	54047
123	7090	54015
124	7005	54027
125	6861	54155
126	6795	54280
127	6571	54309
128	6484	54427
129	6392	54391
130	6255	54397
131	6126	54356
132	5967	54378
133	5692	54391
134	5465	54392
135	5255	54381
136	5021	54425
137	4840	54347
138	4670	54380
139	4441	54376
140	4251	54470
141	3979	54443
142	3682	54571
143	3424	54588
144	3130	54520
145	2953	54522
146	2727	54509
147	2574	54510
148	2492	54529
149	2310	54529
150	2135	54439
151	1998	54396
152	1871	54590
153	1711	54604
154	1591	54604
155	1412	54516
156	1290	54568
157	1165	54621
158	1066	54649
159	937	54611
160	811	54536
161	685	54540
162	552	54550
163	447	54415
164	356	54415
165	283	54387
166	215	54475
167	175	54466
168	130	54338
169	96	54239
170	81	54221
171	48	54194
172	32	54257
173	20	54306
174	17	54400
175	12	54334
176	8	54339
177	5	54271
178	4	54305
179	2	54339
180	1	54425
181	0	54323
182	0	54241
183	0	54242
184	0	54182
185	0	54064
186	0	54108
187	0	54123
188	0	54241
189	0	54199
190	0	54207
191	0	54174
192	0	54088
193	0	54010
194	0	54038
195	0	54106
196	0	54064
197	0	53957
198	0	54027
199	0	54194
200	0	54139
201	0	54215
202	0	54324
203	0	54351
204	0	54392
205	0	54410
206	0	54502
207	0	54526
208	0	54570
209	0	54570
210	0	54573
211	0	54619
212	0	54610
213	0	54584
214	0	54651
215	0	54735
216	0	54670
217	0	54753
218	0	54724
219	0	54631
220	0	54683
221	0	54699
222	0	54845
223	0	54730
224	0	54704
225	0	54584
226	0	54554
227	0	54659
228	0	54625
229	0	54582
230	0	54490
231	0	54502
232	0	54439
233	0	54493
234	0	54443
235	0	54381
236	0	54361
237	0	54403
238	0	54446
239	0	54505
240	0	54433
241	0	54474
242	0	54558
243	0	54658
244	0	54760
245	0	54641
246	0	54627
247	0	54609
248	0	54578
249	0	54536
250	0	54555
251	0	54621
252	0	54487
253	0	54366
254	0	54318
255	0	54326
256	0	54375
257	0	54500
258	0	54477
259	0	54453
260	0	54457
261	0	54482
262	0	54471
263	0	54513
264	0	54486
265	0	54548
266	0	54505
267	0	54529
268	0	54552
269	0	54435
270	0	54453
271	0	54528
272	0	54520
273	0	54485
274	0	54531
275	0	54587
276	0	54548
277	0	54654
278	0	54481
279	0	54430
280	0	54445
281	0	54491
282	0	54397
283	0	54347
284	0	54423
285	0	54440
286	0	54426
287	0	54287
288	0	54185
289	0	54087
290	0	54020
291	0	53896
292	0	53859
293	0	53873
294	0	53852
295	0	53906
296	0	53904
297	0	53814
298	0	53752
299	0	53775
300	0	53635
301	0	53650
302	0	53646
303	0	53730
304	0	53768
305	0	53764
306	0	53807
307	0	53812
308	0	53873
309	0	53904
310	0	53954
311	0	53954
312	0	54008
313	0	54013
314	0	54070
315	0	54101
316	0	54119
317	0	54280
318	0	54333
319	0	54280
320	0	54179
321	0	54281
322	0	54313
323	0	54227
324	0	54199
325	0	54303
326	0	54280
327	0	54390
328	0	54330
329	0	54375
330	0	54364
331	0	54437
332	0	54417
333	0	54365
334	0	54450
335	0	54388
336	0	54247
337	0	54209
338	0	54219
339	0	54159
340	0	54086
341	0	54156
342	0	54238
343	0	54218
344	0	54289
345	0	54263
346	0	54256
347	0	54283
348	0	54355
349	0	54299
350	0	54357
351	0	54417
352	0	54454
353	0	54451
354	0	54311
355	0	54232
356	0	54321
357	0	54304
358	0	54359
359	0	54363
360	0	54411
361	0	54454
362	0	54603
363	0	54498
364	0	54689
365	0	54741
366	0	54782
367	0	54734
368	0	54797
369	0	54741
370	0	54770
371	0	54774
372	0	54750
373	0	54672
374	0	54633
375	0	54747
376	0	54749
377	0	54815
378	0	54815
379	0	54811
380	0	54742
381	0	54699
382	0	54789
383	0	54786
384	0	54841
385	0	54877
386	0	54804
387	0	54715
388	0	54608
389	0	54513
390	0	54587
391	0	54522
392	0	54439
393	0	54554
394	0	54497
395	0	54534
396	0	54519
397	0	54496
398	0	54432
399	0	54514
400	0	54585
401	0	54756
402	0	54803
403	0	54762
404	0	54697
